Table No 6,,,,,,,,,,,,,,,
PROVINCE-WISE AREA & PRODUCTION  OF WHEAT CROP IN PAKISTAN,,,,,,,,,,,,,,,
Province/,Punjab,Sindh,KPK,Balochistan,Pakistan,,,,,,,,,,
Year,,,,,,,,,,,,,,,
2000-01,6255.5,810.7,790.3,324.4,8180.9,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF WHEAT CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Attock,Rawalpindi,Islamaba d,Jhelum,C hakwal,,Sargodha,Khushab,Mianwali,Bhakkar,,,,,
2000-01,141.6,114.1,12.6,47.4,,134.4,191,71.6,144.9,140.4,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF WHEAT CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,Toba,,,,,,,,,,,,,
Year,Faisalabad,Te k  Singh,Jhang,,Gujrat,M.B. Din,Sialkot,Narowal,Gujranwala Hafizabad,,,,,,
2000-01,262.2,144.9,,361,130.7,115.3,193.4,130.7,215.3 129.9,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF WHEAT CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,Sheikhu,Nankana,,,,,,,,,,,,,
Year,pura,Sahib,Lahore,Kasur,Okara,Sahiwal,Pakpattan,MultanLodhran,,,,,,,
2000-01,299.5,0,61.5,173.6,229.9,147.3,158.2,195.9 184.9,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF WHEAT CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,,,,,,Bahawal,Rahimyar Bahawal,,,,,,,
Year,Khanewal,Vehari,M. Garh,Layyah,D.G. Khan,Rajanpur,pur,Khan nagar,,,,,,,
2000-01,214.9,261.8,287.7,176.4,155.4,145.3,271.9,325.4 284.5,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF WHEAT CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Khairpur,,Ghotki,,Sukkur,,N. Feroze,,Nawabshah,Jacobabad,,Kashmore,,Shikarpur,
2000-01,87.5,,,62.1,,34.8,100.8,,78.4,,36.9,,0,,24.2
"District/Year",Larkana,K.S.Kot,Sanghar,Thar parkar,Mirpur khas,Umarkot,Dadu,Jamshoro,,,,,,,
2000-01,55.5,0,102.5,0,75.3,0,57.7,0,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF WHEAT CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Hyderabad,Matiari,,Tando Allahyar,T.M.Khan,Badin,,Thatta,,Karachi,,,,,
2000-01,64.9,,0,0,0,,21.3,,8.7,,0.1,,,,
T-WISE AREA & PRODUCTION  OF WHEAT CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Peshawar,Charsadda  Nowshera,Mardan,Swabi,,Kohat,,Hangu,,Karak,,Mansehra,,,
2000-01,34.8,29.2 25.9,44.6,,58.5,,31.5,,10.6,,29.2,37.4,,,
T-WISE AREA & PRODUCTION  OF WHEAT CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,Abbottaba,,,,,,,,,,,,,
Year,Battagram,d,Haripur,,Kohistan,Malakand,Swat,,Bunir,,Shangla,,Dir  Lower,,
2000-01,6.8,18.2,36.8,,2.1,27.2,,53.5,,43,20.3,,22.8,,
T-WISE AREA & PRODUCTION  OF WHEAT CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,Lakki,Mohmand,,,,,,
Year,Dir Upper,Chitral,,D.I.Khan,Tank,,Bannu,Marwat,Agency,Khyber,Kurram,,,,
2000-01,21.5,,9.2,47.6,,7.8,13,51.3,13.4,11.5,12,,,,
T-WISE AREA & PRODUCTION  OF WHEAT CROP IN KHYBER PAKHTUNKHWA,,,,,,,,,,,,,,,
District/,,,,,,,,,F.R.,,,,F.R. D.I.,,
Year,Orakzai,,Bajour,,N.W,,S.W,,Peshawar,,F.R. Kohat,F.R. Bannu,Khan,,
2000-01,,5.6,,37.8,,9.3,,7.9,,1.9,1.8,4.2,,2.1,
TRICT-WISE AREA & PRODUCTION  OF WHEAT CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,,,Killa,,,,,,,Killa,,,
Year,Quetta,,Pishin,,Abdullah,Chagai,,Loralai,Musa Khail Barkhan,Zhob,,Saifullah,,,
2000-01,,3.5,,8.5,0,11.4,,30.8,0.0 0.0,,1.3,8.6,,,
TRICT-WISE AREA & PRODUCTION  OF WHEAT CROP IN BALOCHISTAN,,,,,,,,,,,,,,,
District/,,,,,,,,,Dera,,,,,,
